Name,Age,GPA,Credits Completed,Year,Pathway
Chris Williams,17,0.89,25,Senior,Business
Elizabeth Thomas,17,3.38,28,Senior,Business
Linda Anderson,16,1.81,41,Freshman,Biology
David Miller,15,4.32,12,Super Senior,Biology
Daniel Taylor ,15,1.69,2,Sophomore,Marketing
Mary Anderson,16,3.94,14,Jenior,Criminal Justice
James Moore,15,1.15,30,Super Senior,Early Childhood Education
Daniel Anderson,14,1.21,18,Sophomore,Early College
Jennifer Miller,15,2.63,24,Freshman,Biology
Jennifer Moore,17,2.91,43,Jenior,Early College
Kevin Wilson,14,4.2,52,Senior,Early College
Mike Davis,17,4.46,52,Freshman,Early College
Elizabeth Anderson,14,2.68,30,Super Senior,Criminal Justice
Kevin Wilson,17,1.45,32,Super Senior,Early Childhood Education
Linda Thomas,15,2.55,48,Senior,Engineering
Elizabeth Thomas,17,0.69,46,Super Senior,Engineering
Kanye Davis,19,1.13,26,Sophomore,Biology
John West,14,1.16,5,Jenior,Criminal Justice
Kevin Davis,19,0.49,53,Freshman,Medical
Robert Anderson,14,2.46,28,Sophomore,Early Childhood Education
Daniel Brown,18,1.11,7,Sophomore,Engineering
David West,16,0.97,27,Jenior,Criminal Justice
Daniel Davis,19,3.77,49,Jenior,Early College
Robert Brown,14,3.0,3,Freshman,Criminal Justice
John Moore,14,2.67,15,Freshman,Criminal Justice
James Taylor ,18,0.98,56,Jenior,Early Childhood Education
John Davis,14,1.01,29,Super Senior,Medical
Linda Jones,14,2.89,37,Sophomore,Criminal Justice
John Johnson,19,1.89,7,Freshman,Early College
Robert Miller,14,1.16,6,Senior,Biology
Chris Anderson,15,3.28,13,Super Senior,Early Childhood Education
Jennifer Jones,18,2.8,48,Senior,Marketing
Mark Taylor ,16,3.74,2,Freshman,Engineering
Mary Williams,18,1.88,20,Freshman,Early Childhood Education
Mike Williams,15,3.33,32,Jenior,Medical
Jennifer Brown,14,0.33,51,Freshman,Marketing
John Thomas,18,1.72,22,Sophomore,Engineering
Chris West,17,0.61,58,Sophomore,Biology
Jennifer Davis,17,3.72,48,Sophomore,Marketing
Chris Taylor ,16,3.78,35,Super Senior,Marketing
John West,17,3.93,22,Jenior,Early Childhood Education
Robert Williams,16,3.24,16,Freshman,Business
Patricia Davis,18,3.62,54,Senior,Biology
Patricia Moore,19,4.25,38,Sophomore,Early College
Kanye Johnson,14,2.55,28,Sophomore,Biology
Paul West,15,4.41,10,Super Senior,Criminal Justice
Mary Taylor ,14,3.04,46,Freshman,Biology
John Taylor ,15,2.08,52,Super Senior,Engineering
Jennifer Thomas,17,2.36,8,Super Senior,Criminal Justice
Mark Jones,14,3.54,60,Super Senior,Medical
Patricia Miller,15,3.1,56,Sophomore,Marketing
James Taylor ,17,1.7,53,Jenior,Engineering
Paul Williams,15,1.02,38,Freshman,Marketing
Paul Davis,17,2.75,11,Jenior,Business
Robert Miller,14,3.28,23,Jenior,Early College
Kevin West,15,2.86,55,Senior,Engineering
David Brown,16,4.02,58,Freshman,Medical
David West,15,4.1,36,Sophomore,Business
Mary Davis,14,3.71,20,Sophomore,Biology
Kevin Wilson,19,1.22,38,Sophomore,Criminal Justice
Elizabeth Smith,14,4.07,22,Freshman,Marketing
Mary Jones,19,2.73,29,Freshman,Early College
Mike Anderson,14,1.44,57,Sophomore,Engineering
Mary Jones,17,2.51,14,Sophomore,Marketing
Jennifer Jones,18,0.72,36,Super Senior,Biology
Daniel Moore,19,0.95,31,Super Senior,Marketing
Daniel Thomas,18,3.05,7,Jenior,Biology
Paul Brown,19,1.72,31,Super Senior,Biology
Kanye Miller,19,4.26,60,Sophomore,Early Childhood Education
Jennifer Jones,19,2.91,39,Senior,Business
Paul Moore,18,0.72,44,Jenior,Biology
Kanye Taylor ,19,2.37,21,Freshman,Business
Kevin Jones,14,3.69,33,Jenior,Criminal Justice
Patricia West,17,0.81,32,Sophomore,Engineering
Daniel Thomas,16,4.0,15,Jenior,Medical
Patricia Moore,15,3.83,25,Freshman,Early College
Robert Wilson,18,3.16,3,Senior,Early College
Jennifer Davis,18,4.42,21,Freshman,Biology
Chris Brown,17,1.41,53,Sophomore,Medical
Mark Taylor ,15,2.72,50,Super Senior,Marketing
Patricia Miller,17,1.23,26,Super Senior,Criminal Justice
Elizabeth Moore,18,0.71,2,Freshman,Biology
Patricia Brown,18,3.22,3,Senior,Marketing
Elizabeth Smith,16,0.65,31,Super Senior,Early Childhood Education
Jennifer Brown,17,2.51,29,Super Senior,Early College
Mike Johnson,18,1.96,45,Jenior,Early Childhood Education
Paul Thomas,14,3.82,23,Super Senior,Biology
Mike Taylor ,14,2.49,30,Jenior,Criminal Justice
Paul Moore,15,2.99,32,Senior,Medical
Mark Williams,14,1.99,7,Jenior,Biology
Patricia West,15,4.2,30,Freshman,Criminal Justice
Mike Brown,15,2.21,36,Super Senior,Marketing
Linda Moore,16,1.82,43,Super Senior,Engineering
John Moore,18,1.12,19,Super Senior,Early Childhood Education
Kanye Smith,18,1.95,30,Freshman,Early Childhood Education
Linda Jones,16,1.49,14,Jenior,Criminal Justice
Chris Davis,18,0.49,6,Super Senior,Early College
Kevin West,14,2.2,12,Senior,Early Childhood Education
Chris Taylor ,14,3.35,41,Sophomore,Marketing
Kevin Thomas,16,3.17,55,Jenior,Business
Robert Brown,19,1.99,39,Jenior,Early College
Kanye Anderson,14,1.53,44,Super Senior,Early College
Elizabeth West,14,3.29,21,Freshman,Engineering
John West,18,3.61,54,Senior,Marketing
Kanye Wilson,14,3.51,29,Jenior,Biology
Kanye West,15,2.79,14,Sophomore,Early Childhood Education
Kanye West,19,0.31,23,Senior,Biology
Daniel Williams,15,3.89,11,Super Senior,Medical
Daniel Moore,16,1.06,38,Freshman,Biology
Jennifer Thomas,19,1.02,45,Freshman,Marketing
Kanye Thomas,16,1.56,9,Super Senior,Criminal Justice
James West,15,3.79,27,Jenior,Medical
Patricia Johnson,18,1.95,2,Senior,Business
Kanye Johnson,18,0.62,45,Jenior,Biology
Jennifer Williams,18,2.94,7,Super Senior,Early College
David Taylor ,19,2.1,27,Sophomore,Early College
Mary Johnson,16,2.04,30,Jenior,Early College
Mark Johnson,15,0.54,26,Senior,Business
Linda Williams,15,0.94,30,Super Senior,Early College
Mark Johnson,17,1.19,56,Jenior,Medical
Elizabeth Jones,19,2.39,28,Freshman,Engineering
Daniel Johnson,17,1.83,21,Senior,Biology
Kevin Johnson,14,1.7,57,Senior,Criminal Justice
John Taylor ,19,2.1,13,Jenior,Early College
Patricia Thomas,16,4.15,2,Super Senior,Medical
Robert West,17,0.87,32,Freshman,Early Childhood Education
Robert Davis,18,3.98,27,Super Senior,Early Childhood Education
John Brown,18,2.99,41,Sophomore,Biology
James Taylor ,19,2.6,55,Sophomore,Business
Mark Jones,15,0.63,1,Senior,Engineering
David Johnson,16,2.41,52,Sophomore,Engineering
John Thomas,16,0.43,43,Senior,Marketing
Paul Brown,15,3.78,14,Super Senior,Early Childhood Education
Linda Johnson,15,4.06,51,Senior,Business
Robert Davis,18,2.46,15,Senior,Marketing
Robert Miller,19,3.48,21,Super Senior,Business
Mike Davis,14,3.64,17,Freshman,Business
Mark Williams,14,0.64,39,Sophomore,Early College
Paul Wilson,16,4.49,58,Senior,Medical
Linda Moore,15,0.4,18,Freshman,Medical
Mike Williams,15,3.3,25,Sophomore,Medical
Chris West,18,3.51,44,Senior,Biology
Elizabeth West,14,2.21,51,Jenior,Criminal Justice
Elizabeth Williams,17,3.87,10,Jenior,Criminal Justice
Elizabeth Smith,16,3.33,36,Sophomore,Engineering
Chris Moore,15,4.06,57,Senior,Early College
Paul Moore,17,1.28,21,Freshman,Criminal Justice
Jennifer Taylor ,15,0.32,13,Senior,Business
Mary West,15,0.79,45,Senior,Engineering
Mark Davis,17,2.14,22,Sophomore,Early College
James West,18,1.12,28,Sophomore,Biology
Elizabeth Jones,14,2.75,40,Sophomore,Early College
Mike Johnson,17,1.16,52,Sophomore,Biology
Mike Moore,18,3.59,54,Freshman,Marketing
Daniel Moore,14,3.56,34,Jenior,Marketing
Patricia West,18,1.89,33,Freshman,Criminal Justice
Kanye Smith,14,3.47,55,Senior,Engineering
Mary Thomas,16,2.56,45,Super Senior,Early College
Paul Jones,17,2.52,54,Jenior,Early College
James Brown,18,4.2,12,Jenior,Early Childhood Education
Robert West,19,1.45,33,Super Senior,Medical
John Moore,18,4.47,44,Sophomore,Early College
Mary Anderson,19,3.67,44,Jenior,Criminal Justice
Patricia Miller,19,4.04,8,Jenior,Early College
Patricia Moore,19,2.08,59,Freshman,Marketing
Mary Wilson,15,2.17,30,Sophomore,Early College
Elizabeth Jones,14,2.15,45,Super Senior,Early Childhood Education
Mike Moore,15,3.7,52,Senior,Business
Mark Wilson,15,2.16,50,Sophomore,Early College
Jennifer Brown,15,1.22,44,Jenior,Biology
David Taylor ,17,2.39,45,Super Senior,Business
James Miller,17,2.47,37,Freshman,Early College
Linda Moore,19,2.87,28,Jenior,Marketing
John Miller,19,2.05,34,Senior,Engineering
Linda Taylor ,14,3.07,24,Super Senior,Engineering
Mark Brown,14,3.36,58,Super Senior,Early Childhood Education
Chris Brown,16,3.34,5,Freshman,Business
Mark Johnson,15,0.54,32,Freshman,Medical
Daniel Johnson,19,0.89,46,Sophomore,Biology
Jennifer Johnson,14,0.76,12,Senior,Early College
James Smith,19,3.1,20,Jenior,Medical
Chris Jones,17,1.42,0,Freshman,Engineering
Mark Taylor ,15,2.36,59,Jenior,Criminal Justice
James Anderson,15,1.66,0,Jenior,Business
John Brown,19,3.71,45,Super Senior,Biology
Mark Miller,19,2.08,18,Freshman,Engineering
James Thomas,19,2.95,15,Super Senior,Criminal Justice
Patricia Johnson,15,1.67,38,Sophomore,Criminal Justice
Patricia West,14,2.2,24,Freshman,Engineering
Robert Johnson,19,1.8,58,Sophomore,Early Childhood Education
John West,17,0.7,4,Sophomore,Business
Paul Williams,15,2.01,35,Sophomore,Early College
Mike Moore,14,2.15,53,Senior,Criminal Justice
Kevin Thomas,18,3.09,2,Super Senior,Criminal Justice
Chris Taylor ,15,3.44,22,Sophomore,Early College
Mark Miller,17,3.0,4,Super Senior,Business
Patricia West,16,0.37,42,Super Senior,Medical
Paul Johnson,17,1.11,44,Jenior,Early College
Linda West,18,0.36,17,Jenior,Business
James Wilson,18,2.89,17,Freshman,Early Childhood Education
Mike Johnson,16,1.46,28,Sophomore,Early College
Elizabeth Miller,18,3.67,0,Sophomore,Criminal Justice
Mike Smith,14,1.26,46,Jenior,Early Childhood Education
Paul Miller,18,0.74,36,Jenior,Early Childhood Education
David Davis,16,1.31,26,Super Senior,Marketing
Mary Taylor ,16,3.71,32,Sophomore,Biology
Robert West,18,1.64,53,Sophomore,Medical
Linda Thomas,17,2.62,5,Freshman,Marketing
Paul Wilson,19,4.25,17,Freshman,Criminal Justice
Mike Wilson,14,4.2,47,Senior,Early College
Linda Taylor ,16,2.93,53,Jenior,Medical
Elizabeth Johnson,15,3.92,43,Super Senior,Criminal Justice
Mary Smith,17,3.82,55,Senior,Marketing
Chris Davis,14,3.18,34,Super Senior,Marketing
James Miller,15,0.64,43,Senior,Medical
Mike Moore,15,2.6,36,Jenior,Biology
Paul Brown,15,0.61,13,Super Senior,Biology
David Moore,17,4.29,58,Super Senior,Medical
Paul Williams,17,1.64,49,Freshman,Early College
Paul Anderson,18,2.37,6,Senior,Early Childhood Education
Patricia Anderson,16,3.57,60,Jenior,Business
Kevin West,14,2.14,43,Sophomore,Early College
John Wilson,15,1.25,45,Senior,Medical
James Taylor ,18,1.74,10,Jenior,Business
David Taylor ,17,0.78,24,Freshman,Medical
Kevin Wilson,17,1.37,41,Super Senior,Early Childhood Education
Linda Smith,14,1.25,47,Jenior,Engineering
Mike Taylor ,16,0.56,58,Sophomore,Early College
